"cleanliness_diff","social_diff","sleep_diff","guestPolicy_diff","noise_diff","cooking_diff","workSchedule_diff","petFriendly_diff","score"
"3","1","1","3","0","1","4","4","60"
"0","1","0","3","1","3","2","4","66"
"4","1","0","0","3","2","2","0","73"
"0","1","0","4","0","1","4","1","73"
"4","4","1","1","3","3","4","1","46"
"1","2","0","4","0","0","1","1","75"
"3","4","3","3","1","3","4","0","49"
"0","2","0","0","1","2","2","1","82"
"1","2","3","1","4","2","0","4","54"
"1","1","3","1","3","0","0","1","64"
"3","2","1","1","2","1","0","1","67"
"0","4","3","2","2","4","1","3","53"
"1","0","1","0","4","0","3","4","73"
"1","2","2","2","3","2","3","2","55"
"1","4","4","4","2","0","2","0","52"
"0","1","0","0","0","4","0","3","84"
"3","2","2","1","0","2","4","4","57"
"1","1","1","1","3","1","2","3","70"
"1","1","4","2","3","1","3","4","52"
"3","2","2","2","0","1","0","0","77"
"0","1","3","0","4","2","2","3","67"
"0","2","4","1","2","0","1","2","67"
"4","1","0","1","0","1","0","2","75"
"4","1","1","4","4","2","2","1","51"
"0","2","0","4","2","1","4","0","68"
"4","3","1","3","0","0","1","1","67"
"1","4","1","1","3","0","3","0","66"
"0","1","4","2","1","2","3","2","69"
"1","3","2","2","4","1","4","2","50"
"2","4","3","2","0","1","1","0","66"
"0","1","4","0","1","0","0","0","82"
"4","0","2","3","0","2","1","2","64"
"1","1","4","1","2","3","0","2","61"
"3","4","2","4","3","0","2","4","45"
"1","1","2","2","2","0","2","3","68"
"2","2","4","3","1","3","1","1","50"
"4","4","4","2","3","4","0","4","34"
"0","2","1","4","2","2","3","3","63"
"3","0","3","0","3","1","0","4","61"
"2","3","0","4","2","2","1","1","67"
"0","0","4","4","1","0","4","3","62"
"3","0","4","4","3","4","2","2","45"
"4","0","0","1","1","1","2","1","75"
"1","3","1","3","2","4","1","0","68"
"4","4","3","3","2","0","0","3","44"
"4","0","0","0","4","3","4","4","56"
"3","4","1","2","2","0","2","2","62"
"0","1","4","3","1","2","4","1","59"
"2","2","3","1","0","3","2","2","59"
"2","3","3","0","1","0","1","2","68"
"4","0","4","0","4","2","2","4","50"
"0","0","2","2","1","3","0","2","75"
"1","4","4","1","3","3","0","2","52"
"3","0","1","1","4","1","3","2","62"
"4","2","0","4","1","3","0","0","66"
"1","2","0","1","4","2","3","4","61"
"0","4","0","4","4","2","4","0","55"
"1","1","4","0","2","4","0","0","71"
"0","3","1","4","1","0","0","1","71"
"0","0","2","0","3","1","3","0","77"
"4","0","1","1","2","3","1","0","69"
"0","4","4","0","1","3","3","4","57"
"3","3","1","0","3","1","2","1","58"
"0","1","0","1","2","0","1","4","79"
"0","2","0","1","4","3","3","1","64"
"3","2","2","3","4","3","4","0","45"
"0","1","1","0","3","1","3","3","76"
"2","0","1","1","0","4","3","0","79"
"2","0","3","4","2","2","3","1","57"
"1","0","1","3","0","0","1","4","77"
"3","4","0","4","1","3","4","1","55"
"1","2","4","3","2","1","1","0","60"
"4","1","1","3","4","2","4","0","52"
"3","1","3","3","1","0","1","0","65"
"0","4","4","3","4","4","0","1","48"
"3","3","1","1","1","1","1","3","63"
"4","2","3","2","2","3","1","2","50"
"2","0","0","2","3","3","4","4","56"
"4","4","3","1","3","3","3","2","44"
"4","2","0","1","2","3","0","3","61"
"4","1","4","1","0","3","0","1","59"
"0","1","4","1","3","4","0","1","63"
"3","4","1","1","1","4","1","1","61"
"0","1","0","3","4","3","4","0","63"
"4","2","4","3","4","0","3","1","38"
"0","4","4","1","1","0","0","3","72"
"4","2","4","4","3","0","0","0","52"
"0","4","4","2","1","0","4","4","54"
"3","4","0","3","2","4","2","4","45"
"4","2","1","1","4","3","1","3","44"
"3","1","3","0","1","0","3","3","63"
"2","1","4","1","2","3","4","1","58"
"0","3","3","1","4","1","4","4","47"
"3","0","2","4","1","4","3","2","61"
"3","4","0","2","0","2","0","1","67"
"3","3","3","1","0","2","3","0","62"
"0","0","4","0","3","3","2","1","66"
"2","2","3","3","0","3","1","0","67"
"1","0","1","0","0","3","2","0","86"
"0","0","4","1","2","4","3","2","66"
"1","0","1","3","3","2","2","1","64"
"2","4","0","1","2","1","1","0","68"
"3","0","0","1","4","1","2","2","69"
"1","1","0","4","1","3","0","4","70"
"2","0","1","0","2","3","0","3","68"
"2","2","2","4","0","0","2","4","56"
"4","2","0","4","3","1","0","4","48"
"0","2","1","1","4","1","3","2","68"
"4","4","0","2","0","3","4","4","51"
"3","2","2","0","0","0","3","3","67"
"4","0","2","1","3","2","4","2","54"
"2","2","1","1","1","0","3","2","70"
"2","4","3","1","1","0","1","1","70"
"0","4","0","2","0","4","3","1","70"
"0","2","2","1","3","2","4","1","67"
"4","4","2","1","2","3","0","2","57"
"1","4","3","4","1","0","2","2","53"
"0","0","0","0","1","0","3","1","87"
"0","0","4","2","4","0","4","0","64"
"1","4","0","1","0","0","1","0","74"
"1","1","1","3","0","2","0","0","82"
"0","3","0","1","3","1","3","4","65"
"0","0","1","0","0","1","3","0","87"
"1","0","1","4","1","1","1","1","71"
"4","2","4","3","2","4","2","0","42"
"2","2","2","3","2","3","4","3","50"
"1","0","4","1","3","4","2","0","57"
"0","2","1","1","4","3","1","4","66"
"1","1","4","0","0","4","1","1","66"
"1","1","2","1","1","1","4","3","70"
"1","4","2","0","0","0","1","2","78"
"4","1","0","4","4","2","1","4","54"
"4","3","2","2","1","1","3","1","56"
"0","0","1","4","3","2","0","1","70"
"4","2","0","4","1","2","1","3","63"
"2","2","0","2","4","0","4","1","63"
"1","1","1","0","3","0","0","3","76"
"2","4","3","4","1","4","2","0","52"
"1","2","1","4","3","3","0","0","67"
"1","1","0","1","3","1","2","1","74"
"2","2","2","2","4","1","0","0","62"
"4","2","4","1","3","3","4","1","42"
"1","1","4","0","3","1","4","0","64"
"0","3","0","4","1","1","1","3","66"
"0","0","1","3","1","2","2","0","80"
"4","3","2","0","1","4","1","0","65"
"3","0","2","1","2","2","0","1","67"
"3","2","3","1","3","0","2","2","58"
"3","0","1","2","3","3","4","1","60"
"3","0","1","1","0","3","3","0","77"
"0","2","1","0","3","0","4","0","78"
"3","1","2","0","1","0","2","3","67"
"1","4","2","2","2","1","2","4","56"
"4","1","4","1","2","1","1","3","55"
"3","2","1","1","1","1","3","0","69"
"0","0","4","3","0","2","3","3","61"
"0","0","1","2","2","3","1","1","79"
"4","1","0","0","4","2","4","2","59"
"2","0","2","2","4","3","4","3","51"
"2","1","4","2","4","0","3","3","55"
"0","4","2","1","1","4","2","3","65"
"3","3","0","2","2","0","4","0","70"
"4","4","2","0","4","1","0","2","57"
"4","1","4","4","1","1","0","3","53"
"4","3","2","1","1","1","2","3","55"
"3","0","1","1","3","1","3","0","70"
"0","1","2","3","3","3","0","3","64"
"0","3","0","4","1","1","1","2","73"
"3","4","0","4","4","1","1","0","56"
"4","1","4","2","2","1","1","2","52"
"2","3","1","0","0","1","4","4","66"
"4","0","0","3","0","0","1","4","69"
"4","1","2","4","2","0","2","0","59"
"0","0","1","2","2","0","0","0","83"
"0","3","2","3","1","2","4","0","64"
"1","0","3","0","0","1","2","0","81"
"4","1","2","1","3","3","1","2","52"
"4","4","0","2","2","2","1","0","60"
"0","4","1","1","2","0","3","0","72"
"2","0","2","1","3","0","1","1","77"
"0","0","0","2","2","1","0","1","85"
"0","2","0","4","0","0","3","4","69"
"1","0","0","1","1","0","3","1","82"
"1","0","2","2","0","2","0","1","80"
"4","1","2","3","1","2","0","1","62"
"0","4","3","1","2","0","0","0","71"
"1","2","3","4","1","4","2","1","60"
"4","0","2","0","4","1","1","2","58"
"1","3","4","4","2","2","0","4","49"
"1","0","2","1","3","4","0","2","65"
"1","2","1","1","2","2","3","2","70"
"1","2","3","1","3","1","3","2","59"
"2","4","3","4","0","4","1","1","51"
"0","3","3","2","4","0","3","1","59"
"1","2","0","3","0","2","1","0","74"
"0","3","0","2","4","4","3","3","54"
"1","1","4","1","4","1","1","2","63"
"4","1","1","1","1","4","1","4","61"
"3","0","0","0","1","3","0","1","81"
"3","0","0","1","3","1","1","3","69"
"0","4","0","4","3","3","0","1","62"
"3","4","2","3","0","4","4","0","55"
"3","4","1","0","3","1","2","1","64"
"1","0","0","1","1","1","3","4","73"
"3","4","2","2","2","0","2","4","54"
"3","2","3","2","4","0","1","2","52"
"2","0","1","4","1","0","4","1","71"
"2","2","0","2","0","1","1","4","69"
"1","0","4","4","0","1","1","2","73"
"4","3","4","2","0","4","1","0","52"
"2","1","4","3","1","2","4","4","51"
"2","4","1","3","1","3","4","1","56"
"1","1","1","1","4","0","1","4","67"
"3","1","1","0","0","4","0","1","80"
"4","3","2","0","3","1","0","0","69"
"0","1","2","1","2","1","1","0","80"
"4","4","2","1","3","3","3","0","56"
"1","2","1","1","4","2","0","4","65"
"1","4","0","1","1","3","0","0","79"
"1","4","0","1","3","1","0","2","68"
"0","2","1","3","0","1","4","0","80"
"3","2","2","3","0","1","2","3","57"
"1","3","2","3","1","4","0","2","60"
"1","1","3","2","1","0","2","4","64"
"2","4","4","1","2","4","3","2","55"
"2","4","3","3","4","4","4","2","33"
"1","1","0","3","1","3","4","1","63"
"1","1","3","0","0","3","4","0","75"
"3","0","2","2","2","2","0","3","65"
"4","2","0","1","1","1","2","2","67"
"0","1","1","2","4","2","2","4","57"
"0","2","2","1","3","2","3","0","72"
"3","4","4","0","1","2","2","0","59"
"1","3","3","2","4","3","4","2","50"
"1","4","3","0","0","1","4","0","72"
"0","2","3","3","1","3","0","2","61"
"1","0","0","4","4","4","3","1","54"
"3","0","0","1","0","1","1","1","80"
"0","3","4","0","2","3","0","0","71"
"3","3","0","4","0","4","2","0","52"
"4","3","0","4","1","4","1","4","56"
"0","4","4","2","2","2","1","1","61"
"4","4","1","4","3","3","3","4","36"
"1","0","4","4","0","0","3","1","65"
"4","2","2","2","2","3","2","4","52"
"1","1","2","2","4","0","1","3","63"
"1","1","4","3","1","0","1","3","62"
"2","0","0","0","0","2","4","1","77"
"1","4","2","4","0","3","0","1","64"
"3","2","3","0","0","0","2","3","62"
"2","1","0","3","1","0","4","0","77"
"2","0","3","1","3","3","2","4","55"
"2","3","3","0","3","1","3","1","57"
"2","4","0","0","2","4","2","1","65"
"3","1","2","4","4","3","0","0","51"
"1","0","0","3","0","4","0","1","83"
"1","1","2","4","1","4","1","0","69"
"0","0","0","0","0","0","0","2","94"
"1","2","1","1","3","0","3","2","73"
"1","1","3","2","0","2","2","1","67"
"0","1","0","2","0","4","4","1","81"
"0","0","0","2","3","2","0","4","76"
"2","1","0","2","0","1","2","4","73"
"3","1","2","1","4","4","1","3","55"
"0","1","4","0","3","3","1","1","69"
"3","4","3","2","1","0","2","1","59"
"1","2","2","1","0","0","4","4","65"
"0","1","2","2","1","0","0","0","84"
"0","1","0","0","0","3","1","1","89"
"2","2","0","2","4","1","1","0","72"
"0","1","0","1","0","2","3","4","76"
"0","4","0","4","0","4","1","4","61"
"2","4","1","3","4","4","4","2","45"
"3","1","4","4","1","1","2","3","48"
"1","1","0","4","0","3","1","0","80"
"1","4","0","0","3","2","4","2","66"
"4","1","2","2","1","1","0","2","58"
"1","1","2","3","3","1","1","0","67"
"0","4","2","4","1","3","1","1","61"
"0","4","0","4","2","3","1","0","63"
"1","1","4","0","3","4","1","4","57"
"1","2","4","1","1","4","3","1","60"
"0","2","0","1","1","3","4","3","73"
"0","1","4","2","2","4","4","4","53"
"3","3","1","3","0","2","1","0","65"
"2","1","3","2","1","4","0","1","65"
"3","2","4","2","4","2","1","1","54"
"3","1","3","0","4","2","3","0","59"
"2","3","0","3","4","4","3","1","53"
"0","4","0","4","1","3","2","2","58"
"1","1","2","1","1","3","0","1","77"
"1","4","1","3","2","3","0","4","56"
"2","0","4","1","2","4","1","3","57"
"0","1","1","4","3","4","1","1","64"
"3","1","2","2","3","0","3","3","60"
"3","0","1","4","4","2","4","1","50"
"2","0","0","1","1","4","4","1","65"
"1","1","4","1","2","0","1","4","62"
"1","1","2","3","2","1","4","3","55"
"1","4","3","0","3","1","3","4","59"
"0","1","3","3","0","0","3","0","75"
"0","0","0","0","3","4","0","0","84"
"2","3","4","2","3","3","0","3","44"
"4","1","1","4","1","2","2","2","58"
"2","0","2","3","1","1","0","1","77"
"1","2","1","2","4","1","0","1","67"
"2","0","4","2","1","1","2","4","61"
"2","2","3","3","1","1","2","2","60"
"4","0","4","0","1","1","0","1","71"
"2","0","4","3","2","1","0","2","60"
"1","0","2","3","2","1","1","1","72"
"3","1","2","2","0","0","4","2","65"
"1","4","3","1","0","4","1","0","63"
"0","1","2","2","1","0","1","2","70"
"3","1","2","2","4","2","3","3","47"
"3","3","1","1","0","1","4","0","70"
"3","0","4","4","3","1","2","2","49"
"2","4","3","1","3","0","2","2","58"
"1","1","3","0","1","1","4","2","71"
"3","1","1","1","0","1","2","0","77"
"4","3","4","3","2","0","0","0","56"
"4","2","1","4","0","3","1","0","55"
"1","1","4","4","2","1","1","0","60"
"0","3","2","0","3","1","2","1","69"
"0","2","0","1","4","3","1","3","64"
"3","3","3","2","3","3","3","3","46"
"3","3","0","0","2","3","3","1","67"
"4","1","2","4","1","2","1","1","58"
"2","1","3","1","1","1","0","2","71"
"2","0","0","1","4","2","1","4","63"
"0","0","2","3","3","3","3","2","62"
"0","0","0","4","4","2","1","3","68"
"1","4","3","1","1","4","3","4","50"
"0","0","4","1","2","1","2","0","73"
"0","4","1","0","0","3","0","2","78"
"4","0","0","2","3","1","0","1","71"
"2","2","2","1","4","2","3","3","53"
"0","1","1","0","0","0","4","0","91"
"1","0","1","2","1","4","2","1","72"
"1","1","2","0","3","1","2","3","63"
"4","1","0","1","0","2","1","4","67"
"1","0","0","1","1","1","0","0","92"
"4","2","0","2","1","0","1","3","68"
"1","0","0","4","1","4","3","4","62"
"3","1","2","1","1","1","0","1","70"
"3","1","0","4","0","4","1","0","73"
"4","4","1","3","4","0","1","0","49"
"0","4","0","4","1","1","1","1","66"
"0","0","0","1","3","4","4","1","77"
"1","4","3","2","0","2","3","2","60"
"3","2","0","0","4","3","4","1","61"
"4","2","0","2","3","0","4","1","66"
"2","0","1","4","3","2","0","1","64"
"3","4","3","1","0","3","0","1","56"
"4","0","4","2","4","1","4","1","47"
"4","1","1","0","4","0","1","4","61"
"3","1","3","0","3","4","0","2","56"
"2","3","0","4","3","0","1","3","56"
